0,0,0,0
0,0.00049,0,0
0.00056,0.00075,0,0
0.0028,0.00121,0,0
0.0056,0.00148,0,0
0.00616,0.00175,0.01878,0
0.00728,0.00386,0.02176,0.00011
0.00784,0.00413,0.02431,0.00067
0.0112,0.00479,0.02463,0.0011
0.01513,0.00505,0.02665,0.00115
0.01961,0.00532,0.02911,0.00152
0.02129,0.00598,0.03369,0.0028
0.02353,0.00624,0.03603,0.00365
0.02577,0.00637,0.0468,0.00498
0.02745,0.00792,0.04846,0.00642
0.03249,0.00938,0.07201,0.00647
0.03417,0.01047,0.07616,0.00826
0.03585,0.01084,0.08169,0.00842
0.03697,0.01166,0.08307,0.01235
0.0381,0.01319,0.08318,0.01407
0.04034,0.01334,0.09467,0.01935
0.0437,0.01438,0.10393,0.0201
0.04538,0.01453,0.11627,0.02014
0.05098,0.01455,0.12776,0.02101
0.05434,0.01506,0.12872,0.02273
0.05826,0.01574,0.13222,0.0245
0.06555,0.02007,0.13872,0.02528
0.08739,0.02099,0.1401,0.02533
0.08796,0.02284,0.14148,0.02816
0.0986,0.02575,0.15212,0.02881
0.12661,0.02641,0.16,0.02903
0.12829,0.0354,0.16254,0.03171
0.13053,0.03659,0.16627,0.03258
0.13277,0.03724,0.17819,0.03437
0.13445,0.03858,0.18139,0.03602
0.13501,0.03897,0.18373,0.03689
0.13613,0.03977,0.18851,0.03776
0.13669,0.04096,0.20713,0.03805
0.23193,0.04215,0.20851,0.03805
0.23361,0.06803,0.2099,0.03805
0.23417,0.07121,0.2099,0.03805
0.23585,0.0724,0.2099,0.03805
0.23922,0.082,0.2099,0.03805
0.23922,0.08601,0.2099,0.03805
0.23922,0.0872,0.2099,0.03805